ID,sex,age,village,pre_fem,pre_mas,dom_fem,dom_mas,att_fem,att_mas,mar_fem,mar_mas
11,0,43,1,#N/A,#N/A,#N/A,#N/A,1,1,1,3
22,0,18,1,#N/A,#N/A,#N/A,#N/A,4,3,1,1
76,0,17,3,#N/A,#N/A,#N/A,#N/A,4,2,1,0
73,0,50,3,#N/A,#N/A,#N/A,#N/A,3,1,2,4
63,0,32,3,#N/A,#N/A,#N/A,#N/A,1,0,1,1
74,0,23,3,#N/A,#N/A,#N/A,#N/A,1,2,0,0
86,0,26,3,#N/A,#N/A,#N/A,#N/A,4,4,0,2
122,0,30,4,#N/A,#N/A,#N/A,#N/A,4,4,0,0
128,0,19,4,#N/A,#N/A,#N/A,#N/A,1,0,1,2
14,0,21,1,#N/A,#N/A,#N/A,#N/A,1,3,2,4
19,0,19,1,#N/A,#N/A,#N/A,#N/A,0,0,2,3
23,0,43,1,#N/A,#N/A,#N/A,#N/A,1,2,3,2
30,0,21,1,#N/A,#N/A,#N/A,#N/A,0,0,2,2
77,0,40,3,#N/A,#N/A,#N/A,#N/A,3,2,1,2
61,0,30,3,#N/A,#N/A,#N/A,#N/A,1,3,3,3
68,0,20,3,#N/A,#N/A,#N/A,#N/A,2,2,2,1
85,0,50,3,#N/A,#N/A,#N/A,#N/A,1,1,3,1
127,0,24,4,#N/A,#N/A,#N/A,#N/A,1,2,2,4
28,0,21,1,#N/A,#N/A,#N/A,#N/A,2,2,2,2
21,0,45,1,#N/A,#N/A,#N/A,#N/A,2,2,1,2
17,0,30,1,#N/A,#N/A,#N/A,#N/A,3,1,4,2
60,0,50,3,#N/A,#N/A,#N/A,#N/A,2,3,2,2
93,0,21,3,#N/A,#N/A,#N/A,#N/A,0,0,3,2
97,0,26,3,#N/A,#N/A,#N/A,#N/A,2,2,1,2
99,0,22,3,#N/A,#N/A,#N/A,#N/A,3,1,2,2
100,0,27,3,#N/A,#N/A,#N/A,#N/A,1,4,1,2
153,0,42,4,#N/A,#N/A,#N/A,#N/A,1,1,2,1
9,0,22,1,#N/A,#N/A,#N/A,#N/A,0,1,0,0
13,0,23,1,#N/A,#N/A,#N/A,#N/A,0,0,0,0
2,0,28,10,#N/A,#N/A,#N/A,#N/A,0,3,1,1
65,0,30,3,#N/A,#N/A,#N/A,#N/A,3,2,0,2
81,0,18,3,#N/A,#N/A,#N/A,#N/A,1,2,1,0
